Epoch: 0 avg_train_Loss: 43.16870117, avg_val_loss: 43.16513917, ade: 70.76858788, fde: 53.27826136 
Epoch: 1 avg_train_Loss: 43.16513824, avg_val_loss: 43.16162154, ade: 70.76224244, fde: 53.27374186 
Epoch: 2 avg_train_Loss: 43.16162109, avg_val_loss: 43.15812908, ade: 70.75598166, fde: 53.26925700 
Epoch: 3 avg_train_Loss: 43.15813065, avg_val_loss: 43.15464249, ade: 70.74976515, fde: 53.26478175 
Epoch: 4 avg_train_Loss: 43.15464401, avg_val_loss: 43.15118948, ade: 70.74356584, fde: 53.26029704 
Epoch: 5 avg_train_Loss: 43.15118790, avg_val_loss: 43.14773152, ade: 70.73742449, fde: 53.25582975 
Epoch: 6 avg_train_Loss: 43.14773178, avg_val_loss: 43.14427425, ade: 70.73127551, fde: 53.25134977 
Epoch: 7 avg_train_Loss: 43.14427185, avg_val_loss: 43.14079808, ade: 70.72512657, fde: 53.24686013 
Epoch: 8 avg_train_Loss: 43.14080048, avg_val_loss: 43.13724862, ade: 70.71895529, fde: 53.24236398 
Epoch: 9 avg_train_Loss: 43.13724899, avg_val_loss: 43.13354371, ade: 70.71265231, fde: 53.23774844 
Epoch: 10 avg_train_Loss: 43.13354492, avg_val_loss: 43.13005260, ade: 70.70606938, fde: 53.23295459 
Epoch: 11 avg_train_Loss: 43.13005447, avg_val_loss: 43.12634649, ade: 70.69985624, fde: 53.22840749 
Epoch: 12 avg_train_Loss: 43.12634659, avg_val_loss: 43.12239565, ade: 70.69326427, fde: 53.22355469 
Epoch: 13 avg_train_Loss: 43.12239838, avg_val_loss: 43.11811443, ade: 70.68620937, fde: 53.21829444 
Epoch: 14 avg_train_Loss: 43.11811447, avg_val_loss: 43.11337693, ade: 70.67854273, fde: 53.21234220 
Epoch: 15 avg_train_Loss: 43.11338043, avg_val_loss: 43.10804867, ade: 70.67004112, fde: 53.20525140 
Epoch: 16 avg_train_Loss: 43.10804749, avg_val_loss: 43.10176560, ade: 70.66045195, fde: 53.19661854 
Epoch: 17 avg_train_Loss: 43.10176468, avg_val_loss: 43.09396756, ade: 70.64908461, fde: 53.18496799 
Epoch: 18 avg_train_Loss: 43.09396744, avg_val_loss: 43.08412969, ade: 70.63488330, fde: 53.16817450 
Epoch: 19 avg_train_Loss: 43.08412933, avg_val_loss: 43.07017826, ade: 70.61681639, fde: 53.14326017 
Epoch: 20 avg_train_Loss: 43.07017899, avg_val_loss: 43.05262896, ade: 70.59080087, fde: 53.09984412 
Epoch: 21 avg_train_Loss: 43.05263138, avg_val_loss: 43.03162997, ade: 70.55830749, fde: 53.05469627 
Epoch: 22 avg_train_Loss: 43.03163147, avg_val_loss: 43.00778085, ade: 70.51999494, fde: 53.00903795 
Epoch: 23 avg_train_Loss: 43.00778198, avg_val_loss: 42.98147622, ade: 70.47676785, fde: 52.96249100 
Epoch: 24 avg_train_Loss: 42.98147583, avg_val_loss: 42.95326250, ade: 70.42960703, fde: 52.91778866 
Epoch: 25 avg_train_Loss: 42.95326233, avg_val_loss: 42.92351617, ade: 70.37933391, fde: 52.87205449 
Epoch: 26 avg_train_Loss: 42.92351532, avg_val_loss: 42.89282535, ade: 70.32646378, fde: 52.82495367 
Epoch: 27 avg_train_Loss: 42.89282608, avg_val_loss: 42.86101804, ade: 70.27196902, fde: 52.77656982 
Epoch: 28 avg_train_Loss: 42.86101913, avg_val_loss: 42.82793068, ade: 70.21542223, fde: 52.72588046 
Epoch: 29 avg_train_Loss: 42.82793045, avg_val_loss: 42.79332869, ade: 70.15651334, fde: 52.67260732 
Epoch: 30 avg_train_Loss: 42.79333115, avg_val_loss: 42.76104878, ade: 70.09477400, fde: 52.61571918 
Epoch: 31 avg_train_Loss: 42.76104736, avg_val_loss: 42.72781646, ade: 70.03706500, fde: 52.56150791 
Epoch: 32 avg_train_Loss: 42.72781754, avg_val_loss: 42.69387160, ade: 69.97756785, fde: 52.50477716 
Epoch: 33 avg_train_Loss: 42.69387054, avg_val_loss: 42.65905446, ade: 69.91675062, fde: 52.44628585 
Epoch: 34 avg_train_Loss: 42.65905380, avg_val_loss: 42.62323354, ade: 69.85434395, fde: 52.38586782 
Epoch: 35 avg_train_Loss: 42.62323380, avg_val_loss: 42.58641734, ade: 69.79010247, fde: 52.32315548 
Epoch: 36 avg_train_Loss: 42.58641815, avg_val_loss: 42.54868240, ade: 69.72404994, fde: 52.25828859 
Epoch: 37 avg_train_Loss: 42.54868317, avg_val_loss: 42.50999257, ade: 69.65634415, fde: 52.19153289 
Epoch: 38 avg_train_Loss: 42.50999451, avg_val_loss: 42.47031397, ade: 69.58693130, fde: 52.12302725 
Epoch: 39 avg_train_Loss: 42.47031403, avg_val_loss: 42.42965525, ade: 69.51573992, fde: 52.05267591 
